"Akių negalavimai","akiu-negalavimai"
"Alergija","alergija"
"Antinavikiniai vaistai ir imunomoduliatoriai","antinavikiniai-vaistai-ir-imunomoduliatoriai"
"Antiparazitiniai vaistai, insekticidai ir repelentai","antiparazitiniai-vaistai-insekticidai-ir-repelentai"
"Apsauga nuo žvarbaus oro","apsauga-nuo-zvarbaus-oro"
"Augalinės kilmės","augalines-kilmes"
"Ausų skausmas","ausu-skausmas"
"Buitinės traumos","buitines-traumos"
"Burnos ertmės ligos","burnos-ertmes-ligos"
"Dermatologiniai vaistai","dermatologiniai-vaistai"
"Galvos skausmas","galvos-skausmas"
"Gerklei ir burnos gleivinei","gerklei-ir-burnos-gleivinei"
"Gerklės skausmas","gerkles-skausmas"
"Gyvulinės kilmės","gyvulines-kilmes"
"Gripo simptomams lengvinti","gripo-simptomams-lengvinti"
"Homeopatinis preparatas","homeopatinis-preparatas"
"Imuniteto stiprinimui","imuniteto-stiprinimui"
"Įv.veikimo preparatai ir kosmetika","iv-veikimo-preparatai-ir-kosmetika"
"Jutimo organus veikiantys vaistai","jutimo-organus-veikiantys-vaistai"
"Kamuoja kosulys","kamuoja-kosulys"
"Kiti preparatai","kiti-preparatai"
"Kompensuojamos MPP","kompensuojamos-mpp"
"Kosulys","kosulys"
"Kraują ir kraujodarą veikiantys vaistai","krauja-ir-kraujodara-veikiantys-vaistai"
"Kt.vaistiniai preparatai","kt-vaistiniai-preparatai"
"Kvėpavimo sistemą veikiantys vaistai","kvepavimo-sistema-veikiantys-vaistai"
"Maisto papildai","maisto-papildai"
"Medicininės prekės","medicinines-prekes"
"Nelaukti svečiai","nelaukti-sveciai"
"Nervų sistemą veikiantys vaistai","nervu-sistema-veikiantys-vaistai"
"Nudegimai, žaizdos","nudegimai-zaizdos"
"Padidėjęs cholesterolio kiekis","padidejes-cholesterolio-kiekis"
"Pagirių sindromas","pagiriu-sindromas"
"Peršalimas","persalimas"
"PMS","pms"
"Raumenų ir skeleto sistemą veikiantys vaistai","raumenu-ir-skeleto-sistema-veikiantys-vaistai"
"Rinkiniai ir kt.","rinkiniai-ir-kt"
"Sąnarių skausmai","sanariu-skausmai"
"Sistemiškai veikiantys hormonų preparatai, išskyrus lytinius hormonus","sistemiskai-veikiantys-hormonu-preparatai-isskyrus-lytinius-hormonus"
"Sistemiškai veikiantys priešinfekciniai vaistai","sistemiskai-veikiantys-priesinfekciniai-vaistai"
"Skausmas","skausmas"
"Sloga","sloga"
"STOP sloga","stop-sloga"
"Sumušimai","sumusimai"
"Susilpnėjusi nervų sistema","susilpnejusi-nervu-sistema"
"Širdies ir kraujagyslių sistemą veikiantys vaistai","sirdies-ir-kraujagysliu-sistema-veikiantys-vaistai"
"Širdies negalavimai","sirdies-negalavimai"
"Šlapinimosi sutrikimai","slapinimosi-sutrikimai"
"Urogenitalinę sistemą veikiantys vaistai ir lytiniai hormonai","urogenitaline-sistema-veikiantys-vaistai-ir-lytiniai-hormonai"
"Virškinamojo trakto sutrikimai","virskinamojo-trakto-sutrikimai"
"Virškinimo sistemą ir metabolizmą veikiantys vaistai","virskinimo-sistema-ir-metabolizma-veikiantys-vaistai"
"Virškinimui, apsinuodijus","virskinimui-apsinuodijus"
