"3-oksoandrosteno(4) dariniai","3-oksoandrosteno-4-dariniai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Acto rūgšties dariniai ir jiems artimos medžiagos","acto-rugsties-dariniai-ir-jiems-artimos-medziagos","priesuzdegiminiai-ir-priesreumatiniai-vaistai"
"Adamantano dariniai","adamantano-dariniai","antiparkinsoniniai-vaistai"
"Adrenerginės ir dopaminerginės medžiagos","adrenergines-ir-dopaminergines-medziagos","sirdi-veikiantys-vaistai"
"Adrenoblokatoriai(alfa ir beta)","adrenoblokatoriai-alfa-ir-beta","beta-adrenoblokatoriai"
"AKF infibitoriai kartu su diuretikais","akf-infibitoriai-kartu-su-diuretikais","renino-angiotenzino-sistema-veikiantys-vaistai"
"AKF inhibitoriai kartu su kalcio kanalų blokatoriais","akf-inhibitoriai-kartu-su-kalcio-kanalu-blokatoriais","renino-angiotenzino-sistema-veikiantys-vaistai"
"AKF inhibitoriai, gryni","akf-inhibitoriai-gryni","renino-angiotenzino-sistema-veikiantys-vaistai"
"Akims","akims","maisto-papildai"
"Alaus mielės","alaus-mieles","maisto-papildai"
"Aldosterono antagonistai","aldosterono-antagonistai","diuretikai"
"Alergenų ekstraktai","alergenu-ekstraktai","alergenai"
"Alfa adrenoreceptorių antagonistai","alfa-adrenoreceptoriu-antagonistai","kraujospudi-mazinantys-vaistai"
"Alfa-adrenoreceptorių antagonistai","alfa-adrenoreceptoriu-antagonistai","urologiniai-vaistai"
"Aligninas, servetėlės, tamponai","aligninas-serveteles-tamponai","tvarsliava"
"Aliuminio junginiai","aliuminio-junginiai","antacidiniai-vaistai-vaistai-opaligei-ir-viduriu-putimui-gydyti"
"Aliuminio, kalcio, magnio junginiai, deriniai, kompleksai","aliuminio-kalcio-magnio-junginiai-deriniai-kompleksai","antacidiniai-vaistai-vaistai-opaligei-ir-viduriu-putimui-gydyti"
"Alkilsulfonatai","alkilsulfonatai","antinavikiniai-vaistai"
"Amidas","amidas","anestetikai"
"Aminoalkiloeteriai","aminoalkiloeteriai","rezorbcinio-veikimo-antihistamininiai-vaistai"
"Aminochinolinai","aminochinolinai","antiprotozojiniai-vaistai"
"Aminosalicilo rūgštis ir panašūs vaistai","aminosalicilo-rugstis-ir-panasus-vaistai","antidiarejiniai-vaistai-vaistai-zarnyno-infekcinems-ir-uzdegiminems-ligoms-gydyti"
"Analgetikai ir anestetikai","analgetikai-ir-anestetikai","vaistai-ausu-ligoms-gydyti"
"Anestetikai vietiniam naudojimui","anestetikai-vietiniam-naudojimui","niezuli-mazinantys-vaistai-taip-pat-antihistamininiai-vaistai-anestetikai-ir-kt"
"Angiotenzino II antagonistai kartu su diuretikais","angiotenzino-ii-antagonistai-kartu-su-diuretikais","renino-angiotenzino-sistema-veikiantys-vaistai"
"Angiotenzino II antagonistai, gryni","angiotenzino-ii-antagonistai-gryni","renino-angiotenzino-sistema-veikiantys-vaistai"
"Angliavandeniai parenteraliniam maitinimui","angliavandeniai-parenteraliniam-maitinimui","pagrindines-dietines-medziagos"
"Anilidai","anilidai","analgetikai"
"Antacidiniai vaistai, kiti deriniai","antacidiniai-vaistai-kiti-deriniai","antacidiniai-vaistai-vaistai-opaligei-ir-viduriu-putimui-gydyti"
"Anti-gonadotropin-releasing hormones","anti-gonadotropin-releasing-hormones","hipofizes-ir-pagumburio-hormonai-bei-ju-analogai"
"Antiadrogenai","antiadrogenai","antinavikiniai-hormonai-ir-jiems-artimi-vaistai"
"Antiandrogenai","antiandrogenai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Antiandrogenų ir estrogenų deriniai","antiandrogenu-ir-estrogenu-deriniai","lytiniai-hormonai-ir-lytine-sistema-veikiantys-vaistai"
"Antiaritmikai (IC klasė)","antiaritmikai-ic-klase","sirdi-veikiantys-vaistai"
"Antiaritmikai (III klasė)","antiaritmikai-iii-klase","sirdi-veikiantys-vaistai"
"Antibiotikai","antibiotikai","priesmikobakteriniai-vaistai"
"Anticholinerginiai","anticholinerginiai","antiastminiai-vaistai"
"Anticholinesterases","anticholinesterases","psichoanaleptikai"
"Anticholinesterazės","anticholinesterazes","kiti-nervu-sistema-veikiantys-vaistai"
