"Acenocumarol","acenocumarol","vit-k-antagonistai"
"Acetazolamide","acetazolamide","karboanhidrazes-inhibitoriai"
"Acetylcysteine","acetylcysteine","mukolitikai"
"Acetylsalicylic acid","acetylsalicylic-acid","salicilo-rugstis-ir-jos-dariniai"
"Acetylsalicylic acid, comb. excl. psycholeptics","acetylsalicylic-acid-comb-excl-psycholeptics","salicilo-rugstis-ir-jos-dariniai"
"Acetylsalicylic acid, comb. with psycholeptics","acetylsalicylic-acid-comb-with-psycholeptics","salicilo-rugstis-ir-jos-dariniai"
"Aciclovir","aciclovir","nukleozidai-ir-nukleotidai-neiskaitant-atvirkstines-transkriptazes-inhibitoriu"
"Acitretin","acitretin","retinoidai-skirti-psoriazes-gydymui"
"Adapalene","adapalene","retinoidai-vietiniam-naudojimui"
"Akių sričiai","akiu-sriciai","veido-prieziuros-priemones"
"Albumin","albumin","plazmos-pakaitalai-ir-plazmos-baltymu-frakcijos"
"Alendronic acid","alendronic-acid","bisfosfonatai"
"Alendronic acid and colecalciferol","alendronic-acid-and-colecalciferol","bisfosfonatai-su-kalciu-sekvenciniai-prep"
"Alfacalcidol","alfacalcidol","vitaminas-d-ir-jo-analogai"
"Alfuzosin","alfuzosin","alfa-adrenoreceptoriu-antagonistai"
"Allopurinol","allopurinol","slapimo-rugsties-sinteze-slopinantys-vaistai"
"Alprazolam","alprazolam","benzodiazepino-dariniai"
"Alprostadil","alprostadil","prostaglandinai"
"Alverine, combinations","alverine-combinations","kiti-sintetiniai-anticholinerginiai-preparatai"
"Amantadine","amantadine","adamantano-dariniai"
"Ambazone","ambazone","antiseptikai"
"Ambroxol","ambroxol","mukolitikai"
"Amfebutamone","amfebutamone","kiti-antidepresantai"
"Amikacin","amikacin","kiti-aminoglikozidai"
"Amino acids","amino-acids","tirpalai-parenteraliniam-maitinimui"
"Aminophylline","aminophylline","ksantinai"
"Amiodarone","amiodarone","antiaritmikai-iii-klase"
"Amisulpride","amisulpride","benzamidai"
"Amitriptyline","amitriptyline","neselektyvus-monoaminu-atgalinio-sugrazinimo-inhibitoriai"
"Amlodipine","amlodipine","dihidropiridino-dariniai"
"Amorolfine","amorolfine","kiti-vietinio-veikimo-priesgrybeliniai-vaistai"
"Amoxicillin","amoxicillin","plataus-veikimo-spektro-penicilinai"
"Amoxicillin and enzyme inhibitor","amoxicillin-and-enzyme-inhibitor","penicilinu-deriniai-iskaitant-beta-laktamazes-inhibitorius"
"Ampicillin","ampicillin","plataus-veikimo-spektro-penicilinai"
"Anastrozole","anastrozole","fermentu-inhibitoriai"
"Anti-D (rh) immunoglobulin","anti-d-rh-immunoglobulin","specifiniai-imunoglobulinai"
"Anticeliulitinės priemonės","anticeliulitines-priemones","kuno-prieziuros-priemones"
"Aripiprazole","aripiprazole","kiti-antipsichotiniai-vaistai"
"Articaine, combinations","articaine-combinations","amidas"
"Artificial tears and other indifferent preparations","artificial-tears-and-other-indifferent-preparations","kiti-preparatai-akiu-ligoms-gydyti"
